user_id,total_revenue,currency,total_posts,average_schedule_seconds,total_twitter_post,total_facebook_post,total_pinterest_post,total_instagram_post,total_instagram_story,total_linkedin_post,total_tiktok_post,suggested_hashtags_count,suggested_time_count
4330820979104789580,,,1,198052.0,0,1,0,0,0,0,0,1,0
4338837567470274660,19.00,usd,2,122419.5,0,0,1,1,0,0,0,0,1
4564186934047375432,9.00,usd,,,,,,,,,,8,1
4607725113973625640,200.00,usd,1,72030.0,0,0,0,1,0,0,0,0,1
4735536761191912665,19.00,usd,1,547255.0,0,0,0,1,0,0,0,,
4894307357701009551,,,2,241207.0,0,1,0,1,0,0,0,4,0
4923331147633555013,50.00,usd,3,201650.33333333334,0,2,1,0,0,0,0,6,0
4928842490165431933,30.00,usd,2,214221.0,0,0,0,2,0,0,0,,
5246380873552788807,19.72,usd,3,538223.5,0,1,0,2,0,0,0,7,2
5246740360352642936,19.00,usd,,,,,,,,,,4,0
5267438113426790301,9.00,usd,2,,0,1,0,1,0,0,0,,
545232656459679361,,,3,409226.0,0,0,0,3,0,0,0,5,1
5477029423504332412,19.00,usd,,,,,,,,,,8,0
5488045972536378577,45.00,usd,6,276506.0,0,2,0,3,1,0,0,20,3
5497867135228379170,19.00,usd,1,,0,1,0,0,0,0,0,0,4
553215631974724368,15.00,usd,1,324003.0,0,0,0,1,0,0,0,24,2
5571426646021614156,45.00,usd,2,122409.0,0,0,0,2,0,0,0,3,1
5614634370832108594,9.00,usd,1,475232.0,0,0,0,1,0,0,0,0,1
5718938631902328711,90.00,usd,2,435639.0,0,1,0,1,0,0,0,0,1
6320851706549640683,,,2,644426.0,0,0,0,2,0,0,0,0,2
6387034680005260865,19.00,usd,,,,,,,,,,4,2
6406366720228136428,30.00,usd,1,568832.0,0,0,1,0,0,0,0,0,2
6522548364973391876,30.00,usd,1,,0,1,0,0,0,0,0,20,0
6993577154000496161,,,1,126009.0,0,0,0,1,0,0,0,5,0
7023069140933276578,19.00,usd,2,468018.5,0,1,0,1,0,0,0,2,0
7084315149885088688,19.00,usd,3,457239.5,0,0,0,3,0,0,0,,
7124750778740228732,,,,,,,,,,,,0,1
7169396922545951863,,,1,,0,1,0,0,0,0,0,5,0
7427782062987146693,,,,,,,,,,,,3,0
7427900047858918575,29.00,usd,3,459624.3333333333,0,1,0,2,0,0,0,10,2
7888486334663334610,25.00,usd,3,547245.0,0,0,0,3,0,0,0,,
8158184382378921031,25.00,usd,1,349205.0,1,0,0,0,0,0,0,9,0
8277651447576635781,57.00,usd,3,540019.5,0,1,0,1,1,0,0,25,1
8288677059636479198,,,1,324030.0,0,1,0,0,0,0,0,,
8381979251363651582,19.00,usd,,,,,,,,,,,
8457487575114977403,,,1,3642.0,0,1,0,0,0,0,0,5,1
8604384131405132379,62.50,usd,2,525607.0,0,0,0,2,0,0,0,1,1
8779842114809484002,9.00,usd,3,432040.0,0,1,0,2,0,0,0,42,2
8800196292925727546,,,,,,,,,,,,13,1
8829464683065780365,19.00,usd,,,,,,,,,,3,0
8837832294687656726,70.04,usd,2,500432.0,1,0,0,1,0,0,0,9,4
8936791996957182814,38.00,usd,2,441008.0,0,1,0,1,0,0,0,8,1
8961126058912049576,15.00,usd,,,,,,,,,,5,1
9019032155174882452,90.00,usd,,,,,,,,,,7,0
9034563296813592760,19.00,usd,1,316811.0,0,0,0,1,0,0,0,,
9036199331185056490,15.00,usd,1,280837.0,0,0,0,1,0,0,0,,
9104502917609271392,273.82,usd,3,393613.6666666667,0,1,1,1,0,0,0,32,3
9136388829496098823,14.46,usd,2,378023.0,0,1,1,0,0,0,0,3,0
9150456987526804451,,,3,333043.0,0,0,0,3,0,0,0,2,1
954598039345055415,29.00,usd,1,399637.0,0,0,0,1,0,0,0,0,1
966018541387672145,,,2,169208.0,0,0,0,2,0,0,0,0,2
967002463762549381,90.00,usd,1,504006.0,0,0,0,1,0,0,0,8,1
-102290736140231096,,,,,,,,,,,,8,1
-1081393974098251968,,,,,,,,,,,,32,1
-1293170033752084603,75.00,usd,,,,,,,,,,1,0
-1400604963367609175,,,1,,0,0,0,1,0,0,0,0,1
-1515181868059567834,25.00,usd,2,,0,1,0,1,0,0,0,7,2
-1617670050843756093,15.00,usd,4,554446.6666666666,0,1,0,3,0,0,0,9,3
-1660079387706616453,90.00,usd,1,399643.0,0,1,0,0,0,0,0,,
-1937259994509085622,9.00,usd,1,298852.0,0,0,1,0,0,0,0,2,0
-213979220176530346,58.00,usd,4,318027.3333333333,0,0,0,4,0,0,0,3,0
-2319319517591830950,0.00,usd,4,390026.0,0,1,0,3,0,0,0,,
-2426548651234509350,,,1,,0,0,0,1,0,0,0,35,1
-2496204631545960368,18.00,usd,1,133252.0,0,0,0,1,0,0,0,9,1
-2523635472186718608,9.00,usd,1,709203.0,0,0,0,1,0,0,0,4,0
-2634029099486199960,19.00,usd,1,,0,0,0,1,0,0,0,,
-2737499443201324574,19.00,usd,1,190857.0,0,0,0,1,0,0,0,7,0
-2817725988408880700,,,,,,,,,,,,4,0
-2856213358754211400,,,5,546352.25,0,3,0,2,0,0,0,0,2
-2983523890007948303,,,2,586808.0,0,1,0,1,0,0,0,17,0
-2985300386670071535,18.00,usd,1,,0,0,0,1,0,0,0,,
-3024098522665725677,19.00,usd,1,165616.0,0,0,0,1,0,0,0,17,1
-3285827840206276756,70.00,usd,2,266420.0,0,1,0,1,0,0,0,11,2
-333043490517166329,15.00,usd,1,644427.0,0,0,0,1,0,0,0,6,2
-3387774083366397347,,,,,,,,,,,,9,1
-3460858768382711998,241.00,usd,2,356424.5,0,0,0,2,0,0,0,0,2
